Wort; Durchschnittlicher Wert
x; 1.1934094745665789
cm; 1.192458564415574
ca; 1.1693998705595732
gross; 1.1515830978751183
b; 1.1398074086755514
enthalt; 1.1234489027410746
liegeflach; 1.1155626010149717
abgebildet; 1.0968110002577305
dekoration; 1.0944323744624853
lieferumfang; 1.0887177363038063
beacht; 1.0884990133345127
grau; 1.0419693626463413
weiss; 1.0417066309601068
bett; 1.0165597703307867
l; 1.0019959937781096
h; 0.9954538103193045
t; 0.9815482553094625
einfach; 0.9806337542831898
druck; 0.950364800170064
hinweisbitt; 0.9408526625484228
praktisch; 0.9257470723241568
bequ; 0.8962725978344679
bequem; 0.8917380608618259
interessant; 0.8870060667395592
weit; 0.8869779910892248
bettlad; 0.8828134983778
geraum; 0.868974206969142
bestellbar; 0.861868679523468
schlafsofa; 0.8573468998074532
ombra; 0.8468155916780233
hoh; 0.8262000400573015
platz; 0.8256609421223402
hinweisdies; 0.8208340853452682
schlafzimm; 0.8081415295600891
bietet; 0.8040185235440731
matratz; 0.7970322947949171
schaff; 0.7958070058375597
einzelbett; 0.7928524296730757
webstoff; 0.7903317008167505
luftbett; 0.7804641034454107
modern; 0.7802074439823627
sowi; 0.7641695756465197
kategorienschlaftextiliennachtkastchenkleiderschrankekomplett; 0.7639515697956085
filial; 0.7637454848736525
drei; 0.762697771191597
bestway; 0.7622182574123144
artikel; 0.7617621812969446
beflockt; 0.760435676202178
sitzgeleg; 0.7597545590251684
schlafzimmerdruck; 0.7501351460814476
