Wort; Durchschnittlicher Wert
gerundet; 0.14516757818637416
einkuscheln; 0.14342686726013198
brunello; 0.1369403275894001
griffmuld; 0.1299910592060769
fusshoh; 0.1278488594762166
verwohnt; 0.12552152981515974
schlummert; 0.1235601409280207
fern; 0.12253423532820307
hebelautomat; 0.12042541633127257
trendfarb; 0.11320332414470613
besonderheitenlattenrost; 0.11218299041502178
lausannedi; 0.1098646036698483
platzbedarf; 0.10942024103133008
gesteigert; 0.10940615371509921
floral; 0.10909229659591801
norwich; 0.10662152082659304
living; 0.1062089501065202
darin; 0.10615236114244908
lieblingsdeko; 0.10582133472780697
freut; 0.10430150426691398
auslad; 0.10123257956001908
zustell; 0.10048823877878021
eher; 0.09941588330548257
ornament; 0.09912505352986045
selig; 0.09902238304493949
gefund; 0.0987986369873397
ubersicht; 0.09875813912367448
accessoir; 0.09862144760336378
buchenholz; 0.09699040003761183
rindled; 0.09643477178178728
duos; 0.09579946330632083
mal; 0.09553627924469765
gusto; 0.095511721476214
paketgewicht; 0.09550816602131817
verleb; 0.09468081116210669
lauf; 0.09437261399580166
unterzustell; 0.09311412254464813
heimkino; 0.0926213038910646
zen; 0.0926095996692311
transparent; 0.09259900299366564
notfall; 0.0919115636497736
geb; 0.0913065763306804
vorkomm; 0.09101428021676838
fussform; 0.09029020990419667
hohepunkt; 0.08975863345403923
umgewandelt; 0.08959113449964207
informationenpaketgross; 0.08898051329197187
geschloss; 0.08775334497113363
diejen; 0.0875335483578965
kgdie; 0.08699601772241294
