Wort; Durchschnittlicher Wert
royal; 0.14362680353224277
march; 0.12590753845870495
himmel; 0.12551881559193134
vintag; 0.11863352451473475
stern; 0.11575049720704556
lino; 0.11537785176187754
mittelf; 0.1147964084520936
spielzeug; 0.10917809139937162
verlor; 0.10642936266958714
stattlich; 0.09792004292830825
wohnide; 0.09523464599624276
elias; 0.09460745239630342
prakitscherweis; 0.09459104668349028
unterteil; 0.09285405417904258
zubettgeh; 0.09107794892042875
wertig; 0.09019629331305623
bettenbreit; 0.08884295681491494
welt; 0.08613471314311028
endgult; 0.08405272802338004
entfuhr; 0.08315142057836056
unruh; 0.08307005395181477
unterzustell; 0.08269298728555441
platzbedarf; 0.08105210214853287
arezza; 0.07987595768645406
plauschab; 0.07820816128514707
grazil; 0.07814530888572335
robby; 0.0780520606203936
varii; 0.07767153531312943
wandgestalt; 0.07758414838463068
kinderbett; 0.07700780167942867
bequemlichkeitsfaktor; 0.0761654709931463
tull; 0.0753463739529252
ergebnis; 0.07483257027342916
beerefarb; 0.07477794191800058
bettfunktionsart; 0.07403075997717679
wohlfuhlenerganz; 0.07402487745093822
rosa; 0.07402486493811011
wohlfuhlgarant; 0.07396326243178919
erholungstempel; 0.07367762131616473
polyurethanschauk; 0.07358423247933388
zierlich; 0.07338967942632735
schlammfarb; 0.07256063364911824
verdankt; 0.07133048470132053
main; 0.0710864644497633
samtoberstoff; 0.0709775248542428
aufkomm; 0.06943979533389211
moro; 0.06852070149034262
passgenau; 0.06816311553120613
knopfverzier; 0.06783617148175836
kelly; 0.06783374899532646
