Wort; Durchschnittlicher Wert
einstellbar; 0.102602856408339
verwohnt; 0.099318206346652
relaxfunktiondi; 0.09496194776147604
bettdesign; 0.09449466993100941
lichtbestand; 0.09403607633430511
lauf; 0.09357366291806102
abzieh; 0.09166833339259028
gewartet; 0.09077126340707764
sitzvergnug; 0.08986036950955167
raumteil; 0.0893606350000482
unverzichtbar; 0.08931093057617545
japan; 0.0883492681896314
chesterfield; 0.08829919330310076
gasdruckfed; 0.08708678492257604
ausgeschlaf; 0.08687186380848289
heimkino; 0.08625801943708211
traumoas; 0.08585756231332198
diejen; 0.08551898269797675
moro; 0.08470689729438163
griffmuld; 0.0846673398045823
arezza; 0.08448156574741006
reprasentativ; 0.08444502210477367
holzgestell; 0.0826521348208189
stehend; 0.08248024457134306
ribbek; 0.08224181408877485
grund; 0.08165213611209765
grenz; 0.08157408317492809
parol; 0.08086600707611069
manuela; 0.0804775027645519
varii; 0.08028872375143692
holzopt; 0.08017728495178744
nylonbezug; 0.07986576742405305
hebelautomat; 0.0797620159573853
angestammt; 0.07946859954245156
nierenkissenruck; 0.0788057754834881
aufkomm; 0.0787232810180285
bella; 0.07868896427680738
reichweit; 0.07814837212208658
vielzahl; 0.07706772652454674
paradies; 0.0768446177826263
absolutentrendfarb; 0.07682852784637362
britisch; 0.07672186861600494
ausgeklugelt; 0.07668331218883395
vonca; 0.0759209233801812
s; 0.0758927355054766
brunello; 0.07589183686650358
tiffy; 0.07571724432636984
unit; 0.07559679735459213
rechteck; 0.07555078278528526
unmittelbar; 0.07512095128186047
