Wort; Durchschnittlicher Wert
dekoration; 0.09025909565389156
enthalt; 0.08799193892627954
druck; 0.08634354081004858
zusammenstell; 0.08602681942284107
schlafsofa; 0.08371383603662252
find; 0.08213107008486986
praktisch; 0.0817040205001831
bequem; 0.07842649985104799
staufach; 0.0781380111220642
bitt; 0.07704035751521587
mark; 0.07604130823165178
fehl; 0.07561004138551652
ca; 0.07523888722062111
sorgt; 0.07429224392399192
eleganz; 0.07428429182618856
abgebildet; 0.07417785841971636
taschentuch; 0.07286828301948844
sowi; 0.07286776509135962
ausgestattet; 0.07284569786861539
polstermobel; 0.07234446983784437
stark; 0.0723340860567987
cm; 0.07225124072283506
schlafzimm; 0.07221297500655055
sorg; 0.07164195692166686
dank; 0.07150905951857567
hinguck; 0.07145149493589997
gesamthoh; 0.07136775506660342
ombra; 0.07126283925026655
ganz; 0.07116020936518908
design; 0.07076898962259293
spontan; 0.07045030081644654
drei; 0.0703148259781301
lieferumfang; 0.06995140109211206
empfehl; 0.0690718893893063
weiss; 0.06905003637075424
passend; 0.06883917190134525
etwa; 0.06875283271074295
optimal; 0.06866978527978063
isotta; 0.06793506466783583
schaumstoff; 0.06780957989394665
l; 0.06766634993255138
perfekt; 0.06709342543035746
t; 0.06674336083233356
versehent; 0.06671680127328727
hinweisstoff; 0.0664970192592591
grosszug; 0.06646215636283159
schick; 0.06629150919616222
beacht; 0.06615518406033516
kundenberat; 0.06583603331819177
stilvoll; 0.0654171546921134
