Wort; Durchschnittlicher Wert
UNK; 0.9387864600867033
große; 0.9102577194571495
eine; 0.8722258731722832
cm; 0.8534871581941843
.; 0.8416168726980686
und; 0.8230747450143099
x; 0.8228807225823402
); 0.8204443734139204
,; 0.8176061250269413
97; 0.815531525760889
im; 0.809250621125102
B; 0.8086443543434143
(; 0.8052867837250233
!; 0.8019905164837837
Sie; 0.7904856409877539
in; 0.788779828697443
Das; 0.785262068733573
beachten; 0.7730295406654477
mit; 0.7704055551439524
ca; 0.7685476336628199
enthalten; 0.7616642005741596
nicht; 0.7612587725743651
die; 0.7604626761749387
abgebildete; 0.7564790602773428
dass; 0.7544614905491471
T; 0.7511272691190243
Dekoration; 0.7375761400908232
Lieferumfang; 0.7333529209718108
H; 0.7327694669365883
von; 0.7316128052771091
Luftbett; 0.7210769159719348
aus; 0.7154186125844717
Schlafsofa; 0.703233927488327
BESTWAY; 0.7010071445256472
Liegefläche; 0.6960151689127088
Zweisitzer; 0.6938402708619833
Weiß; 0.6921114241704345
Grau; 0.6794306291267276
84; 0.6738108936697245
empfehlen; 0.6730216266587377
für; 0.6728139966726303
ist; 0.6726302178576589
der; 0.6692767040804029
Bett; 0.6667187875136733
schaffen; 0.6621564729139209
funktional; 0.6576601974666119
können; 0.6543924547731876
ist.Weitere; 0.6497931955382228
beflockte; 0.6494418662041426
hält; 0.6485320823267102
