metric,confounds,preprocessing,acc,bottom,top
label,price category_id,lower,0.83,0.91,0.72
label,brand,tokens,0.82,0.93,0.66
label,ohne_confound,tokens,0.82,0.88,0.74
label,category_id,stemmed,0.82,0.87,0.75
label,price,no_punct,0.82,0.9,0.7
label,brand price category_id,stemmed,0.81,0.93,0.62
label,category_id,lower,0.81,0.9,0.68
label,price category_id,stemmed,0.81,0.92,0.64
label,brand price,stopped,0.81,0.93,0.63
label,ohne_confound,lower,0.81,0.88,0.7
label,brand,no_punct,0.8,0.93,0.6
label,brand price category_id,tokens,0.8,0.89,0.66
label,brand,lower,0.8,0.87,0.71
label,brand,stopped,0.8,0.92,0.63
label,brand,stemmed,0.8,0.95,0.59
label,ohne_confound,stopped,0.8,0.95,0.58
label,brand category_id,lower,0.8,0.95,0.58
label,category_id,tokens,0.8,0.88,0.68
label,brand category_id,stopped,0.8,0.95,0.59
label,ohne_confound,stemmed,0.8,0.9,0.65
label,brand price,tokens,0.79,0.93,0.59
label,brand price,stemmed,0.79,0.95,0.55
label,brand category_id,stemmed,0.79,0.87,0.67
label,price,stopped,0.79,0.97,0.53
label,brand price,stopped,0.79,0.97,0.53
label,brand price category_id,stemmed,0.78,0.95,0.53
label,price,no_punct,0.78,0.95,0.52
label,brand,stopped,0.78,0.89,0.61
label,ohne_confound,tokens,0.78,0.94,0.54
label,ohne_confound,no_punct,0.78,0.86,0.65
label,brand category_id,stopped,0.77,0.92,0.56
label,price category_id,no_punct,0.77,0.95,0.49
label,brand category_id,tokens,0.77,0.95,0.49
label,brand price category_id,no_punct,0.77,0.95,0.51
label,ohne_confound,no_punct,0.77,0.97,0.47
label,brand price category_id,lower,0.76,0.93,0.52
label,category_id,lower,0.76,0.93,0.52
label,category_id,tokens,0.76,0.9,0.55
label,price,lower,0.76,0.96,0.47
label,brand category_id,no_punct,0.76,0.93,0.51
label,brand price category_id,no_punct,0.75,0.98,0.41
label,category_id,no_punct,0.75,0.95,0.47
label,category_id,stemmed,0.75,0.88,0.55
label,price category_id,stemmed,0.75,0.87,0.58
label,brand category_id,tokens,0.74,0.86,0.55
label,price category_id,no_punct,0.74,0.71,0.77
label,ohne_confound,lower,0.74,0.89,0.52
label,brand category_id,stemmed,0.74,0.94,0.45
label,price category_id,stopped,0.74,0.86,0.57
label,price,stopped,0.74,0.99,0.39
label,brand category_id,lower,0.73,0.72,0.74
label,brand price category_id,lower,0.73,1.0,0.33
label,category_id,stopped,0.73,0.8,0.62
label,brand price,stemmed,0.73,0.97,0.39
label,brand price,lower,0.73,1.0,0.33
label,price category_id,stopped,0.73,0.96,0.38
label,brand,tokens,0.72,0.95,0.39
label,brand price category_id,stopped,0.72,0.71,0.72
label,price category_id,tokens,0.72,0.77,0.66
label,price category_id,lower,0.71,0.97,0.34
label,category_id,stopped,0.71,0.85,0.49
label,category_id,no_punct,0.71,0.65,0.79
label,ohne_confound,stopped,0.7,0.61,0.83
label,price,tokens,0.7,0.61,0.83
label,brand,stemmed,0.62,0.65,0.58
label,brand price,tokens,0.6,0.39,0.91
label,brand price category_id,stopped,0.6,0.65,0.53
label,price,stemmed,0.55,0.33,0.89
label,brand price category_id,tokens,0.53,0.27,0.92
label,brand category_id,no_punct,0.4,0.0,0.99
label,brand price,no_punct,0.4,0.0,1.0
label,brand price,lower,0.4,0.0,1.0
label,price,lower,0.4,0.0,1.0
label,price,stemmed,0.4,0.0,1.0
label,brand,no_punct,0.4,0.0,0.98
label,brand,lower,0.4,0.0,1.0
label,brand price,no_punct,0.4,0.0,1.0
label,price,tokens,0.4,0.0,1.0
label,ohne_confound,stemmed,0.4,0.0,1.0
label,price category_id,tokens,0.39,0.01,0.97
