Wort; Durchschnittlicher Wert
komfortables; 0.014031663948117057
gemütliche; 0.013315193032576644
liegen; 0.012147190162068
entspannen; 0.01211863187149902
gemütliches; 0.01197627904402907
luftbett; 0.011621952878658703
über; 0.011318083963124082
platzsparend; 0.01104798719898099
spontane; 0.010784993288689293
verstaut; 0.010627132713852915
oberfläche; 0.010483682523772585
bequeme; 0.010109095544976299
marke; 0.009650823306583334
integrierter; 0.009382658819231438
seine; 0.00937798335289699
integrierte; 0.009358367100503528
dank; 0.009340135900492897
sehr; 0.008908396442893717
haben; 0.008899545226995542
schlafplatz; 0.008581961548770778
egal; 0.008295325009203224
bestens; 0.008293309467808286
sollte; 0.008251102836948122
gibt; 0.008230947885022034
übernachtungsgäste; 0.008171626657713205
wir; 0.008065253496897639
ob; 0.008009378292263137
ab; 0.007838320179143921
macht; 0.007832365586727974
anbieten; 0.007707545706216479
integrierten; 0.0076829058903967965
einmal; 0.0076750787084165495
alle; 0.007608133525354788
ideal; 0.00759615366550861
integriert; 0.0075227926688967274
drei; 0.007408007666526828
schublade; 0.007339304104971234
abmessungen; 0.0071570758467714764
lässt; 0.007124762915464089
was; 0.007120509771630168
schon; 0.007026938114722725
denn; 0.007008711177331861
äußerst; 0.007007929510655231
verleihen; 0.006956044991966337
ganze; 0.006891612462641206
familie; 0.006871366499399301
kann; 0.006798410320698167
benötigen; 0.006728873831889359
schlafen; 0.006716308966861107
bieten; 0.006695097833289765
