Wort; Durchschnittlicher Wert
anthrazit; 0.002704050142730807
webstoff; 0.0017911682742123957
a; 0.0015564820088911802
äußerst; 0.0013879854130209423
dessen; 0.0013762358455096547
morgen; 0.001361688545148354
entstehende; 0.0012992496026981825
durchgehenden; 0.001282472645834787
übernachtungsbesuch; 0.001227836429461604
rundet; 0.0011726350763638037
genügend; 0.0011724924173904584
nie; 0.0011707027835655027
akzente; 0.0011683211247145663
fürs; 0.0011488999392895495
richten; 0.001138754454859736
schlafen; 0.00113830345653696
gemütliches; 0.0011142928779008798
anbieten; 0.0011101506126578898
gerne; 0.0010785859303723555
relaxen; 0.0010651462653186172
echter; 0.0010547613317612558
perfekte; 0.0010460546789545333
etwas; 0.001045310279369005
gurtfederung; 0.001038844298091135
ungefähr; 0.00103245005448116
abende; 0.001029720290171099
andere; 0.001011533823384525
schlaferlebnis; 0.001007296427451365
edle; 0.001007251072769577
grundlage; 0.000981294327903015
ordentlich; 0.0009711068657452416
blicke; 0.0009563127934598015
ausziehen; 0.0009555402964224413
verleihen; 0.0009536082778140553
bettkasten; 0.000953469009436958
holzfüße; 0.0009504509908765613
seitenverkehrt; 0.0009411005976289744
sitzmöbel; 0.0009288545331401111
bessoni; 0.0009211257982315146
kingsize; 0.0008903557627036208
hause; 0.000871600319078425
sitzgelegenheit; 0.0008695472117778991
fügt; 0.0008635017783490184
bringen; 0.000859188636241015
tagsüber; 0.0008437627966941363
modern; 0.0008393041905947029
velours; 0.0008353909100151213
ideal; 0.000823457641809
extra; 0.000815634818172839
abend; 0.000814445327142721
