Wort; Durchschnittlicher Wert
material; 0.0031661331828217953
pflegeleicht; 0.002869499585358426
daheim; 0.0022515667020343243
freu; 0.0021521140297409147
verstaut; 0.0020642037357902153
aufgestellt; 0.002024464469286613
schlafstatt; 0.001973676754278131
verfugt; 0.0019620207720436158
ausruh; 0.0019038701600948115
gleichzeit; 0.0016992720717098563
fernsehsessel; 0.0016981012755422852
vorn; 0.0016702313485438935
fall; 0.0015109220112208277
einmal; 0.0015032800110930111
weist; 0.0014570917059245404
vorziehbank; 0.0014394415462447795
sieb; 0.0013555782526054826
klein; 0.0013213742640800774
kind; 0.001305403765650226
lass; 0.001302978428429924
stabilitat; 0.001276242519088555
formig; 0.0012691278527199757
weich; 0.001250707227154635
verfug; 0.0012471264257328586
kunststoff; 0.0012410743336658924
himmlisch; 0.0012296254255488748
ausstreck; 0.001222814903485414
polyurethanschaumk; 0.0011998300100458438
verleiht; 0.0011840580846183002
leichtig; 0.001146854412945686
unterkonstruktion; 0.0011379574549209791
kombination; 0.0011371192082151537
synthet; 0.0011198624997632578
einsetzbar; 0.0011168352870299715
lukka; 0.001106732533946797
flach; 0.0010753242555097131
filmab; 0.0010742838205260341
interessant; 0.0010554021693678806
gleichermass; 0.0010492025699932127
obermaterial; 0.0010440422313877206
nosagunterfeder; 0.0010415886074042647
fusshoh; 0.0010393469703558367
armteil; 0.0010383025799001189
hoh; 0.001033894747706654
tuch; 0.0010300681591616013
schlaffunktion; 0.0010154143692489015
sech; 0.0010105621011462062
clev; 0.0009890798757623998
lang; 0.0009738496970385313
gelb; 0.0009702118702989537
