Wort; Durchschnittlicher Wert
anthrazit; 0.01811052356424625
wohnung; 0.016095299326116218
anthrazitfarb; 0.01608619482758513
hervorrag; 0.014913095959817468
mass; 0.01419208433435415
schick; 0.013538900288403965
form; 0.013464410232700175
passt; 0.012807273666840046
harmon; 0.012618270240272978
hol; 0.012377780747465294
erganz; 0.01202652817410126
highlight; 0.011945634130279359
massiv; 0.011926676502480405
losung; 0.011906793962407392
gastezimm; 0.011805778698908398
funktional; 0.011477155177271926
schlafgefuhl; 0.01143817168485839
kontakti; 0.011391557649540118
purist; 0.01112278018554207
albero; 0.010970998393622722
schrankbett; 0.0109696730862197
bein; 0.010935515692654007
fernbedien; 0.010931685340710828
paketspezif; 0.010904511703847675
besitzt; 0.010870374237310899
fur; 0.010865529968577902
spediteur; 0.010784070682530001
besteht; 0.0107795848925889
element; 0.01076967459412117
you; 0.01075297793795471
zustell; 0.010732858171104453
kommod; 0.010726898386928951
liefertermin; 0.010701100671576569
zuhaus; 0.010677880997536703
ausgeklappt; 0.010677711095195264
wohnbereich; 0.010655233647344175
motor; 0.01063985511300416
trendig; 0.010540114770992658
passend; 0.010513396964233835
tonnentaschenfederk; 0.010491506514881621
dezent; 0.010480496512900572
erleb; 0.010392025920737069
erfolgt; 0.010360960518300998
buchenholz; 0.01022509509930387
kgpaketgewicht; 0.010161188139682054
wohlfuhl; 0.010158602606679779
paketgewicht; 0.010148005741666567
einrichtungsstil; 0.010073175808065571
direkt; 0.01006718208664097
liefer; 0.010066969296894967
