Wort; Durchschnittlicher Wert
letzt; 0.02314727282500826
gleichnam; 0.023048808172825376
geb; 0.02303011281765066
mass; 0.02294340941880364
bringt; 0.022682523643015883
stil; 0.022355161790983402
uberzeug; 0.022333180757777883
einricht; 0.022159120548167266
regal; 0.022105071179976222
kommod; 0.02185110973659903
grossart; 0.02176783518953016
anthrazit; 0.021254775523266288
stylisch; 0.02093611048476305
form; 0.02077197336620884
anthrazitfarb; 0.019927584573451895
you; 0.014184316784667316
fur; 0.013977048375454614
mid; 0.013813435658812523
hol; 0.013524480609339662
geltung; 0.011903446691576391
naturfarb; 0.011474657073995332
rahm; 0.011474649123556446
erganz; 0.011370259747491219
besitzt; 0.011127739067887887
geolt; 0.010969674210355152
problemlos; 0.010924428986618296
maser; 0.010849225387210027
bein; 0.01082280588161666
kopf; 0.010242294094859971
konisch; 0.010110921258456074
klassisch; 0.009970971178518084
fussteil; 0.009695110583561473
nobl; 0.009072024465785944
belastet; 0.008271348891867092
c; 0.007827814780466725
weis; 0.007805981807723583
art; 0.006597830641840119
kiss; 0.0057703688071342185
geformt; 0.005452111941121984
vier; 0.005423860785595025
klappbett; 0.0048426260587802975
wenig; 0.004248079425758533
kilogramm; 0.004080274710941012
steht; 0.003856798496781266
stet; 0.003735625267472642
preis; 0.0037218476722046035
etwa; 0.0037167211840824165
haus; 0.003705310809891671
bereit; 0.00368747925522257
uberzeugt; 0.003659909878115286
