Wort; Durchschnittlicher Wert
dunkelbraun; 0.0027931491684284994
begeist; 0.002095034896524339
kopf; 0.002044650635070866
ausstattunglattenrost; 0.001998472903005677
wichtig; 0.0019446220430836547
inkl; 0.001900435179231863
belastet; 0.0018975483915710356
bessoni; 0.0018602530366479187
neb; 0.001787385991519841
luxurios; 0.001763441707316815
hartegrad; 0.0017625107684580144
garcia; 0.0017453187774663093
nobl; 0.0017105159444327001
lieblingsplatz; 0.0016702083450581995
element; 0.0016346609489119146
poly; 0.0016192550319829024
anspruch; 0.001590241491226152
jederzeit; 0.0015482888254155114
farbmix; 0.0014830269763479009
verstellbar; 0.0014704028784763069
einsetzbar; 0.0014509390981402247
dauerschlaf; 0.001432670709255035
stan; 0.0014195739081742432
genuss; 0.0014157036172036896
dunkelblau; 0.0014144731452688576
mikrofas; 0.001414007755010971
wasch; 0.0014110476884525269
flexibel; 0.0013760660836851456
farbgeb; 0.0013703286817417393
gesamt; 0.0013628941604110878
gesamthoh; 0.0013396554353676039
aufsteh; 0.0013318792408426815
pflegeleicht; 0.0013236409693490713
belastbar; 0.0013115679209164456
fach; 0.0013031984635745175
auszieh; 0.0012953849861332856
blickfang; 0.0012911776630062377
mid; 0.001284235941420775
nylon; 0.0012805309608665994
gemeinsam; 0.0012656856542889727
wunsch; 0.001235592766897753
misst; 0.001230088197553414
gesamtbreit; 0.0012157736673543695
zusagt; 0.0011952012165920678
uberzeug; 0.0011695560679072514
mittelhart; 0.001162915996974334
morg; 0.0011605851366766728
gibt; 0.0011458358545496593
topp; 0.001129350643714133
klassisch; 0.001124689809330448
