Wort; Durchschnittlicher Wert
farbmix; 0.03740994795225561
dunkelbraun; 0.02054385007795645
stauraum; 0.017151635215850548
erfullt; 0.014958040407509542
meng; 0.014851542186079314
zuruckhalt; 0.014590146069531329
wahl; 0.014417287890682928
hellgrau; 0.014412834443015754
trifft; 0.01440613265731372
korpus; 0.014301673765294254
aufgeraumt; 0.014126183599000797
klapp; 0.013768345554126427
ebenso; 0.013558188723982312
bettschublad; 0.013436956219084095
stilsich; 0.01332492787623778
einlad; 0.013235949049703776
wohnlich; 0.012904992420226335
hartegrad; 0.012836499014520086
zugab; 0.012705853715306147
wand; 0.012675146180845332
gesamtlang; 0.012489766580983996
gesamtbreit; 0.012100506598653738
klappbett; 0.011912962900532875
gast; 0.011827965619886527
mikrofas; 0.01177316589091788
inkl; 0.01135247474994685
ausklapp; 0.011211934656603261
entscheid; 0.01120999297763774
poly; 0.011040008284180659
juist; 0.01100565134001954
infos; 0.010990398886497133
wenig; 0.010937783283225144
wichtig; 0.01087953733294853
grosszug; 0.010644130421860609
zeitlos; 0.010592705311864847
gesamthoh; 0.010391199425794185
uberzeugt; 0.01007283120216016
ausgestattet; 0.009816947084254934
option; 0.00980181463091867
verstellbar; 0.00978484288280015
stet; 0.009626872689113952
ausstattunglattenrost; 0.00952009379766423
stilvoll; 0.00946833855123259
rund; 0.009415565657400293
auswahl; 0.009151663049851776
teil; 0.008936406880820869
breit; 0.008791195313642674
handgriff; 0.00878160992579069
vollwert; 0.008326535076412256
komfortabl; 0.0083011029928457
