Wort; Durchschnittlicher Wert
luftbett; 3.536574072018266
bestway; 3.5209253553301094
person; 3.3691933076828717
pump; 3.3328383222222326
elektr; 3.3301486622542145
oberflach; 3.3124451491981746
bequem; 3.0604477267712356
integriert; 3.026450433768332
best; 3.022345883771777
haus; 3.0137440457940103
gastebett; 2.971084172837436
schlafkomfort; 2.89972442984581
schlafplatz; 2.8964391835033894
platz; 2.889676857739687
spontan; 2.8705901775509117
mark; 2.8188526082783936
ubernachtungsbesuch; 2.7989554319530727
komfortabl; 2.7731394097208977
l; 2.4598463444039225
beim; 2.370810913108289
ideal; 2.244055402651429
ab; 2.2280261110514403
dank; 2.213336777687073
UNK; 1.9427819395437838
b; 1.941077747195959
cm; 1.9317242503166199
druck; 1.9297476148232817
x; 1.9263353684917093
angenehm; 1.9234524935483932
einfach; 1.8891064997762441
hinweisdies; 1.8880798701196908
bequ; 1.8841589471325277
artikel; 1.8498847406357526
abgebildet; 1.8474419102072717
bestellbar; 1.8463631071150304
lieferumfang; 1.8455841470509768
beacht; 1.8436607953161002
filial; 1.8429477808997035
ausgestellt; 1.840267096273601
dekoration; 1.839813253469765
enthalt; 1.838405467197299
bitt; 1.8346420431509614
gross; 1.7796355878934265
sorgt; 1.7539394268766046
kunststoff; 1.7061445161700248
ca; 1.6717252980917692
kg; 1.6599642062559723
bett; 1.436822597309947
h; 1.320043831318617
grau; 1.315479820407927
handumdreh; 1.2815638080239296
nichtgebrauch; 1.2429531225934625
dunkelblau; 1.2373463500291109
mitgeliefert; 1.2311633247882128
gemut; 1.2044617038220167
liegeflach; 1.1632187433540822
inn; 1.1478895608335733
stabil; 1.1467727739363909
flexibl; 1.1323674019426107
eignet; 1.1306166857481004
grun; 1.0882599215954543
aufbewahr; 1.066250241547823
ganz; 1.0534589316695928
verstaut; 1.0378247385844588
find; 0.983445948176086
schlaf; 0.8552806783467531
roll; 0.7750991838052869
gerad; 0.7655617298558355
ladt; 0.7653726950287819
top; 0.7651484789326787
schliesslich; 0.7595996532589198
relax; 0.7564754044637084
rundet; 0.6371580302715302
blau; 0.6359291793778539
jederzeit; 0.6191837873309851
fall; 0.6168580237776041
lasst; 0.611760258115828
nach; 0.5720185119658708
einsetzbar; 0.5058416329324246
egal; 0.498524453304708
neb; 0.4962951458990574
luxurios; 0.49602266158908603
wunsch; 0.4909279283136129
sowi; 0.4390550509095192
beid; 0.37234686594456434
anbiet; 0.37007634695619346
praktisch; 0.28952603936195376
schnell; 0.2853975296020508
matratz; 0.2849455550312996
einzigart; 0.2576142348349094
weich; 0.25285417288541795
robust; 0.24992291610687972
lieb; 0.2454263385385275
manuell; 0.24373083971440793
macht; 0.2437014367431402
schlafstatt; 0.24098665043711662
variant; 0.12719111181795598
aufgestellt; 0.12560644261538984
famili; 0.1250311616808176
material; 0.12449531964957714
flexibel; 0.12215298172086478
