Wort; Durchschnittlicher Wert
luftbett; 3.948960491234902
pumpe; 3.352964224506286
ab; 3.02828113680589
oberfläche; 2.994761182903312
integrierter; 2.9695652526061167
personen; 2.6892796425725463
marke; 2.6038173733337318
übernachtungsbesuch; 2.5582992150462815
schlafplatz; 2.370778256208723
großen; 2.3311527976416984
gästebett; 2.2853921976173295
dank; 2.2607459111415666
integrierte; 2.1982036163433802
bestens; 2.1763503921567464
bequeme; 2.1640457437664735
schlafkomfort; 2.135983806136937
drucken; 2.1201504212685904
ideal; 2.11295679169707
integrierten; 2.0996103555000447
bequemlichkeit; 2.089913693312974
kunststoff; 2.069112725916784
platz; 2.0590852140703646
gerade; 2.050784305961861
lädt; 2.0469480273699445
rundet; 2.0462727607766285
top; 2.0317114417860465
praktischem; 2.0251624030963287
komfortables; 2.024959926230076
drei; 2.009536007401766
gemütliche; 1.9791684768395499
schnell; 1.9284615036733157
finden; 1.9276139826775762
platzsparend; 1.874257328450767
hinweisdieser; 1.842077857918048
beim; 1.7655304394400446
l; 1.7127237536209576
hause; 1.7064666188205593
nichtgebrauch; 1.6842847328989592
übernachtungsgäste; 1.6832917738527613
egal; 1.6407961102471744
verstaut; 1.6345770584055572
besten; 1.6313774772825127
macht; 1.5541609865591455
praktische; 1.5431777010293444
spontane; 1.3938633494253736
abgebildete; 1.271293471316676
benötigen; 1.2488005918101408
blau; 1.2315272624749922
beachten; 1.1879734562269733
dekoration; 0.9133247227433458
angenehm; 0.7797461752168602
b; 0.5606323399251778
bitte; 0.4718234596781258
bestellbar; 0.46472765143844297
cm; 0.3948788582027191
filialen; 0.37989708957611584
unterbringen; 0.3410742786887567
x; 0.2961413658893434
UNK; 0.29242015902709684
artikel; 0.28541472520082606
material; 0.2565666193666402
ausgestellt; 0.19923117333091794
grau; 0.16878931784303858
perfekt; 0.1673261433141306
einfach; 0.0969023976707831
freunden; 0.08868273608386516
abmessungen; 0.0880835097283125
jederzeit; 0.08460498782806099
ideale; 0.07791942001058487
