Wort; Durchschnittlicher Wert
kautschukholz; 0.008421668603114085
pölstern; 0.00787662788061425
prakitscherweise; 0.0076718190568499265
arm; 0.007662453019293025
vintage; 0.00746704928330928
aufgeräumte; 0.0074244123883545395
zwischen; 0.00738903995952569
kunststofffüßen; 0.0071876470756251365
großzügiges; 0.007120416744146496
ansprechendes; 0.007112015399434313
regi; 0.007042347762035206
ausziehfunktion; 0.007030390499858185
schaumstoffpolster; 0.006938944949069992
schwarzem; 0.006930008839117363
erstrahlt; 0.006632476884988137
höher; 0.006595556272077374
la; 0.006568527068156982
schwarzer; 0.006507513508404372
retro; 0.006473391596227884
angenehmem; 0.006440845830366015
modena; 0.006403853191295638
justierbaren; 0.0063824854027188845
verloren; 0.006349567393772304
zubettgehen; 0.006349149548623245
kündigen; 0.0062801725769531915
maxi; 0.006261934447684326
absoluten; 0.006252144300378859
halt; 0.006249876153015066
wohnliches; 0.0062447315867757425
graue; 0.00624043035932118
liegefunktion; 0.006214622966945171
wenden; 0.006143996410537511
dienen; 0.006082296377280727
weichem; 0.006018605960707646
stand; 0.006010076537495479
behaglichem; 0.005858338323014323
recht; 0.005855239191441796
cmhinweisdieser; 0.005818528367672116
eichefarbene; 0.005812254996271804
schlaffläche; 0.005812011187663302
ausgezeichnet; 0.005811762543453369
grauem; 0.0057699333061464134
trend; 0.005676576538826339
überzeugende; 0.005623246831237339
gestaltete; 0.0056220325495814905
neo; 0.005588127416558564
moro; 0.005586073821177706
sitzeigenschaften; 0.005574666807660833
einzigartig; 0.005547884614497889
ebenso; 0.005534238386462676
