Wort; Durchschnittlicher Wert
braun; 0.05160849199851327
rosa; 0.05050100211062727
hellbraun; 0.047233453747708154
angenehmem; 0.04368367266556561
pölstern; 0.04305366673215758
hand; 0.04197787765749581
maschine; 0.04170586850550535
vintage; 0.04126379849644764
dieser; 0.0397542478201558
dunkelblau; 0.038554403695297876
buchenholz; 0.037650314460427124
kilogramm; 0.037545641736096515
wand; 0.037488354001288825
robuste; 0.03721605889500097
reißverschluss; 0.03683904988047289
dunkelbraun; 0.03651390448189886
graues; 0.036120557703316084
boxspringbettes; 0.03604692834243224
komfortschaum; 0.036006440387950533
eindrucksvolles; 0.03580992049000997
toller; 0.035561654178673054
zugabe; 0.03543997614348342
edel; 0.035333111444987256
hinweis; 0.034907698034169245
zubettgehen; 0.0343530478276989
kind; 0.03411411591935121
großer; 0.03371152546226845
verloren; 0.03352389250703709
echt; 0.033256594434021736
gehen; 0.03324955978152957
liegt; 0.03303909830693179
liegefunktion; 0.03298876793764975
zonen; 0.03286759591551345
wirkt; 0.032754595655205776
frische; 0.032716969023704225
stütze; 0.032654658401588675
lackiertem; 0.032623135423409624
geradlinigem; 0.032529679426875194
mid; 0.03244475034802008
velours; 0.03239986605060494
gepolstertem; 0.03228763737520239
prakitscherweise; 0.03215728327063516
kghinweisdieser; 0.03194539778086778
ausschließlich; 0.03171769235078727
you; 0.03167660762765081
ausladender; 0.031668614822910966
variabel; 0.03145800067852207
süße; 0.03145783356697507
livetastic; 0.031133250443800265
machen; 0.03096291099705013
