Wort; Durchschnittlicher Wert
dunkelbraun; 0.026056439933017827
stilvolles; 0.01915621952098263
weiß; 0.017274047966930085
gepolstertem; 0.013763084654056002
einrichtungsstile; 0.013558032140645082
zeitlosen; 0.012966770936054672
viele; 0.012947343325504335
erfüllt; 0.012279023574819803
hellgrau; 0.012170009905457847
zugabe; 0.012013665060233335
hellgrauen; 0.01166657605272121
wahl; 0.01126319122595305
preis; 0.010910230750596384
korpus; 0.010585811448800086
großzügigen; 0.009919346642163873
komfort; 0.00917906347222015
jede; 0.008654276816082529
besten; 0.0086524977326917
möbelstück; 0.008567765824773232
bequemen; 0.00798113267228473
wählen; 0.007763589849491837
lederlook; 0.006720371144001547
maximalen; 0.006209253706765594
schlaf; 0.006166186619884684
durchdachte; 0.0058803375613933895
t; 0.005649996420288517
komfortablen; 0.005278545177634442
ebenso; 0.004707557468100277
entscheiden; 0.004325831374808331
gefertigte; 0.004010893065697019
stets; 0.003906874290623819
stilvoll; 0.0038894312438060297
stauraum; 0.003888280619503348
auswahl; 0.003855243375255668
zeitlose; 0.003843015450183884
wenigen; 0.0037481810855751973
gäste; 0.003559867458534427
an; 0.003528297663797275
option; 0.0035152760094206313
gerade; 0.0034900726499472513
form; 0.003467048097809311
rundet; 0.0034526771158198246
unter; 0.0033547382376127644
erholsamen; 0.0031758435776282567
verleiht; 0.0031465061103517654
gepolstertes; 0.00311983094925381
handgriffen; 0.0030788415722781794
nutzen; 0.0029734747386100935
seinem; 0.0029493848505808273
juist; 0.002931936107961519
