Wort; Durchschnittlicher Wert
Ordnung; 0.05673314061277779
misst; 0.04388793343332509
Greige; 0.043578155416253136
Liegeerlebnis; 0.043549344228449624
Rollroste; 0.04114324613601639
Rückenpölstern; 0.040055224706156876
gestalten; 0.03864017715877708
FüßenStilvoll; 0.038639281852556454
Eiche; 0.03820929199723651
Komfortschaumkerns; 0.03818220573375584
Wangenform; 0.03816262402724533
GARCIA; 0.037871424180048054
vieles; 0.037466274678990885
missen; 0.03740658841525146
umfunktionieren; 0.03716464289936994
wollen; 0.03678567654787912
Ende; 0.036637760422854625
überzeugen; 0.03644023825381737
darauf; 0.0362228280166164
Ob; 0.03621065673328303
geeignet; 0.03611555951019909
Wände; 0.0357139517491305
Möbelstücke; 0.035573241612291896
wachen; 0.03535629739380965
letzten; 0.035304437092963784
formschönen; 0.03502465880937962
entdeckenDrucken; 0.03497049611814873
Vergangenheit; 0.034957548736929314
Kopf; 0.03475567748073445
Programm; 0.03466281286418962
FRISCOKombinieren; 0.03462472599167086
Unterbau; 0.03455045940245327
natürliche; 0.03437310060580785
Samtbezug; 0.03397237793560635
ästhetische; 0.03388527803363104
grau; 0.03386429167603637
Schliff; 0.03385943283356028
Dauerschläfer; 0.03374852873173495
Farbton; 0.03370928506701602
Naturfarben; 0.03362405810003111
genießen; 0.033618862547155
liebsten; 0.03352256924663379
Tonnentaschenfederkern; 0.033413289395321046
gefallen; 0.033205466370054636
Waschen; 0.03320444658020279
gehören; 0.03318527187930158
verziert; 0.03299289426595351
Seitenteil; 0.03291225256616599
umfangreichen; 0.03284491180511395
fürs; 0.032683228972018696
