Wort; Durchschnittlicher Wert
livetastic; 0.04161901689949445
kghinweisdies; 0.04105428664188367
informationenpaketgross; 0.0409362244681688
polyetherschaumk; 0.040380622103111816
querschlaf; 0.03807666533393785
nierenkiss; 0.03726091136195464
braun; 0.036386668210616334
hinweis; 0.036109108062373704
rosa; 0.03504529790370725
auslad; 0.03350303205152159
verspricht; 0.03302861898991978
mid; 0.032974540644499936
zugab; 0.032798426890803964
you; 0.032625167157311806
probl; 0.03208838205318898
nylon; 0.032077535265125336
wellenunterfeder; 0.03197736850124784
lieferunglieferhinweisliefer; 0.03132107647543307
dadurch; 0.03127057164674625
varii; 0.030567032819089946
erleb; 0.03020769957020093
rechteck; 0.029997586889658125
kilogramm; 0.029514182671846356
armlehn; 0.02940371378790587
arezza; 0.02939899212215096
nam; 0.029293284905725157
royal; 0.029094303378951736
lino; 0.028669386255205608
kind; 0.028494246763875707
raumteil; 0.028461701137712226
entdeck; 0.027914110565325244
spielzeug; 0.027860050069284624
mikrofas; 0.02768650003708899
march; 0.027664006658596918
hellbraun; 0.027255489039816894
verwandeln; 0.027205590822268276
himmel; 0.02718436351569835
ankund; 0.027166827768087386
suss; 0.027150081330910326
liegefunktion; 0.02698711321572773
eindrucksvoll; 0.026942183903884143
fleck; 0.026711998220707755
fusshoh; 0.026625416868773753
schlafvergnug; 0.026503157250408547
unterstreicht; 0.02622568461665651
regi; 0.026155955005924623
lini; 0.02615522289997898
charakt; 0.026151952892541887
freut; 0.02614065465677413
eck; 0.02598126119701192
