Wort; Durchschnittlicher Wert
gemut; 0.0179449945804663
dank; 0.016466221302124495
bestway; 0.01576252612649114
pump; 0.015356196981156246
mitgeliefert; 0.015068338124547154
nichtgebrauch; 0.014876717724109766
elektr; 0.01485541537113022
luftbett; 0.014769416500348598
dunkelblau; 0.014574407944019185
spontan; 0.014395038710790686
ausserst; 0.014268005001213169
jahr; 0.014102109835948794
oberflach; 0.014024690541555173
verstaut; 0.01396343721935409
mark; 0.013765567571681459
best; 0.013664813950890675
stabil; 0.013404240441741423
lieg; 0.013296740299847443
ubernachtungsgast; 0.012871131062274799
aufbewahr; 0.012535457555713947
grun; 0.012495474950173956
ab; 0.012462438913462392
mittel; 0.01241620353757753
ubernachtungsbesuch; 0.012160595918248873
muhelos; 0.011861750273965299
schnell; 0.011842590878950432
doppelbett; 0.011708309545065276
drei; 0.011707306257812888
inn; 0.0115933778550243
schlafplatz; 0.011419766985272872
abmess; 0.011248501649242825
rundet; 0.011188771470915525
integriert; 0.011122160559170879
person; 0.011119203362613916
biet; 0.010988281253958121
eignet; 0.010952164021000499
benot; 0.010857554286485539
edl; 0.010770945127660525
zusatz; 0.010567458695732057
schlafstatt; 0.01055293234239798
top; 0.01051781041023787
fall; 0.010449189908104017
relax; 0.010330185989550955
kunststoff; 0.010310152559395647
lieb; 0.010143582156160846
schliesslich; 0.010011261244653725
gerad; 0.00996036085562082
anbiet; 0.0099317431129748
allein; 0.009905166630596795
unterbring; 0.009797155379783363
