Wort; Durchschnittlicher Wert
ordnung; 0.04416343451594003
dauerschlaf; 0.041559795709326865
misst; 0.04148489066574257
greig; 0.04010090268275235
samtbezug; 0.03914327096717898
silb; 0.038067089077958374
matratzenhoh; 0.037692360469372944
verraum; 0.03758728854882065
angekundigt; 0.0375740266230423
genutzt; 0.03742835089979053
farblich; 0.037270348158926936
unterstreich; 0.03642558739520609
eyecatch; 0.03590507884218823
kopf; 0.03568291276205855
eich; 0.03516713851713575
nylon; 0.03515526409319136
letzt; 0.03514922975737136
hol; 0.035071264069210885
liegeerlebnis; 0.03475652826709848
himmlisch; 0.034531034692190585
wiederum; 0.034239907112532816
voraussetz; 0.03344921766820334
naturbelass; 0.033318122319178654
goldfarb; 0.033154327209922486
gefall; 0.03312875860719942
wangenform; 0.03275374130753335
schliff; 0.03264310028462205
umfunktioni; 0.03237875347549561
gold; 0.032207495358306915
kompletti; 0.03208431083767209
platzangebot; 0.03191032444010489
pflegemontageanleitunghinweisstoff; 0.03159355175776
vergang; 0.03137230312568136
mitbestell; 0.031212083347782027
bereich; 0.03117201704786794
verseh; 0.031159901434148197
eck; 0.031035585162317147
textil; 0.030991172284120693
hochwert; 0.030954556333381334
aufgebaut; 0.030905866935790983
ruck; 0.03082769296015613
svenja; 0.03070775324886199
gegenstand; 0.0303728423154098
nosagunterfeder; 0.030331552082498093
langjahr; 0.030305149423656984
wohin; 0.030243608460295945
komfortschaumkern; 0.030185445997631177
begleitet; 0.029997482629551087
alaska; 0.029861460998654367
separat; 0.029852603752806316
