Wort; Durchschnittlicher Wert
wohnlich; 0.002361832452152157
highlight; 0.002011416659661336
einricht; 0.0019216519151086687
wohnung; 0.0019058549180044793
absolut; 0.0018778148296405561
stell; 0.0018182096901000477
natur; 0.0017705343294437625
schaff; 0.0017152967127913143
bringt; 0.0016403871541115222
stilsich; 0.001627072284645692
dunkelbraun; 0.0016052273917011918
fernbedien; 0.001599212410292239
mobelstuck; 0.0015298540305593634
motor; 0.0015288499533198773
formig; 0.0014549645282386336
sitzkomfort; 0.0014336035391920633
frisco; 0.0013994509540680156
gleichnam; 0.0013835404553901754
bettkast; 0.0013653653812070842
harmon; 0.0013412873459401453
farbmix; 0.0013314460338733625
meng; 0.0013247375226001167
hartegrad; 0.001324699395627249
positioni; 0.001317304731907143
kategorienwohntextilienvorhangestehleuchtenwohnzimmertischedruck; 0.0012856639788878966
schafft; 0.0012589939542522188
massiv; 0.0012570957122989058
inklusiv; 0.0012370711771950483
bettschublad; 0.0012241862366863642
sowohl; 0.0012218620732710405
statt; 0.001213988229392271
zeitlos; 0.0012072870493284426
silb; 0.0011868657358718338
harmoniert; 0.0011837273322726106
halt; 0.0011810304109530988
couch; 0.0011747078337066342
aufgeraumt; 0.001173556189314695
sitzbereich; 0.0011716022108544167
uberrasch; 0.0011454247609435698
pur; 0.0011367454404535237
stylish; 0.0011325170306008658
wohn; 0.0011178350322893493
preis; 0.0011090793577750446
nero; 0.00109240889355533
dabei; 0.0010807351602124982
wohnlandschaft; 0.0010795472286190488
ubrig; 0.0010464577899256255
scheuertour; 0.0010449865834743833
boxspringbett; 0.001040278010259499
vorzug; 0.0010367190764554834
