Wort; Durchschnittlicher Wert
wand; 0.001980134629411623
gekonnt; 0.0019033124899124232
albero; 0.0018944128103612456
liegt; 0.001661240496650862
wohnraum; 0.0014547686762853118
gefertigt; 0.001360225451844599
ausklapp; 0.0013072665040454012
klappbett; 0.0012747491633490426
wayn; 0.0012402181717334315
erholt; 0.0012308364081718536
sech; 0.0012036063561909672
entspann; 0.0011744840230676346
freud; 0.0011726160240414173
lichtecht; 0.0011699283153234318
viscoschaumk; 0.0011402057397845056
bettdeck; 0.0011215567694307538
hinweisstoff; 0.0010554112966929096
fed; 0.0010414030710307997
braun; 0.0010366763854563032
zaubert; 0.0010344340033043408
kommt; 0.001024709261400858
kombinierbar; 0.001015037835622934
federk; 0.0010127530495083192
garcia; 0.0009978407115340815
multifunktional; 0.0009977618570701451
geolt; 0.0009925037816174154
verstau; 0.0009911737122507702
interieur; 0.000985622359979743
anspruch; 0.0009853437602941994
film; 0.0009793279583391267
geschwung; 0.0009716092353301064
wunderbar; 0.0009689668234386772
hinweisdies; 0.0009607128897187068
komplettiert; 0.0009481335150667292
kiefernholz; 0.0009466181081194236
eckig; 0.0009323079912974208
trendsett; 0.0009320197563283727
stet; 0.0009256820044356573
verbreitet; 0.0009184496511807083
co; 0.0009170651603199076
gering; 0.000912847481231438
lukka; 0.0009122572675039464
beig; 0.0009071099487300671
preisneb; 0.0008984991749457549
niveau; 0.0008974656602731557
gewischt; 0.0008973541307568667
gibt; 0.0008941741703893058
best; 0.0008870120296705864
mondan; 0.0008838269557145395
sonoma; 0.0008746438827074599
