Wort; Durchschnittlicher Wert
jahr; 0.023877052991883828
verstaut; 0.023547066090395675
ausserst; 0.023067952074779897
ganz; 0.02120979729515966
benot; 0.019885248242644593
beim; 0.019215039552364033
freund; 0.019068012021307368
eignet; 0.018739829783226015
doppelbett; 0.018585086988605327
abmess; 0.018552255765825976
inn; 0.01846591175562935
stabil; 0.018439369667612483
verfugt; 0.017808905433048493
famili; 0.017629748351464514
multifunktional; 0.017563155998141157
grun; 0.017319467835477553
nu; 0.01695177410147153
pflegeleicht; 0.016737421046127566
zusatz; 0.016671003968804145
modell; 0.01662357094755862
robust; 0.0159433452252415
a; 0.01583173575781984
variant; 0.01580307119584177
lieb; 0.015766855291440153
steh; 0.01575513986754231
flach; 0.01567808173276717
manuell; 0.015574319605366326
aufgestellt; 0.01556789094756823
edl; 0.015565877443077625
aussergewohn; 0.015478793381771539
verfug; 0.015462881432540598
beleucht; 0.015432357773534022
roll; 0.015415894708712585
somit; 0.01534364619619737
schliesslich; 0.015341176313813775
plus; 0.015256860575755126
gerad; 0.015042190725216642
klein; 0.014998921242113283
egal; 0.014923598358575419
wobei; 0.014887445165004464
aufgrund; 0.014836969967291225
sieb; 0.014831372519984143
rundet; 0.014815916170482524
blau; 0.01470417873642873
allein; 0.01458823377834051
gern; 0.01399463320558425
inkludiert; 0.013959968778362964
top; 0.013948524609440937
schublad; 0.013886353065026924
beid; 0.013858728879131376
