Wort; Durchschnittlicher Wert
farbtöne; 0.005837345983309206
kindes; 0.005745148055211757
dunklem; 0.00559997242139616
entdeckendrucken; 0.005282717329100706
rollrost; 0.005181074660504237
organische; 0.004742002076818607
lino; 0.004489995128551527
kippfunktion; 0.004488180886255577
lupo; 0.004476737936784048
ausgestatteten; 0.004462786151998443
wohnlichkeit; 0.004458309837718844
kghinweisdieser; 0.004448756366036833
la; 0.004380058334209025
lese; 0.004352845306857489
worauf; 0.004345066256064456
kelly; 0.004330360445237602
moon; 0.004326970063266345
beeindruckt; 0.004276750302778964
einsatzbereit; 0.004240305296843871
ungefähr; 0.004105596151202917
ergebnis; 0.004090443304448854
maximale; 0.0040806462406180796
einzug; 0.004073772463016212
jugendzimmern; 0.004070717236027121
benötigten; 0.00401986131259946
mittelfester; 0.004018189443740994
fernbedienung; 0.003994225695350906
lasse; 0.003983855119440704
eschenholz; 0.003974720899350359
schichten; 0.0039453517354559155
fehlen; 0.0039281741410377435
graues; 0.003925682985573076
holzrahmen; 0.00390564701265248
kuschelort; 0.003899012878537178
utensilien; 0.0038872192320923205
wohngefühl; 0.0038738393116545923
halt; 0.003857624136890081
post; 0.0038381327227398287
gewissen; 0.0038096054606285177
zierliche; 0.0037996257070062713
lässigen; 0.003799151130078826
playboy; 0.0037991113249518094
schlafgefühl; 0.00378882961376803
schenkelmaße; 0.0037812173912243454
kopfteilmaßeliegefläche; 0.003777614604041446
wohnaccessoires; 0.003774119790978148
maschinenwäsche; 0.0037736856378614903
schlanken; 0.003760806364516611
allzu; 0.0037601510201056955
lenkt; 0.0037541001234785653
