Wort; Durchschnittlicher Wert
luftbett; 0.05535359432251426
bestway; 0.05027438542310847
hinweisbitte; 0.045634223306478816
bonellfederkernmatratze; 0.045114373601973054
minuten; 0.04304537603748031
pumpe; 0.04283824902959168
beflockte; 0.041587116380105725
große; 0.04099483130703448
grauem; 0.04037635886343196
einzelbett; 0.039108946424676105
charme; 0.03909959691372933
eignet; 0.03902719849784262
echtholz; 0.03851585812953999
empfehlen; 0.03756374826480169
bequeme; 0.03704609169217292
geschickt; 0.036867131442704704
person; 0.0363389404330519
senfgelb; 0.035752232649247165
t; 0.035380237725803454
teilige; 0.03507198047609563
webstoff; 0.034623604043554225
unterwegs; 0.03409454856009688
grauen; 0.03406253622233635
lässt; 0.03398627285205293
funktional; 0.033952889586225866
weiß; 0.03387716391007416
mitgelieferten; 0.03349315567938902
dezente; 0.03345021040731808
schlafplatz; 0.033449141947494355
schlafsofa; 0.033404805825921355
camping; 0.033259646436090404
airbed; 0.03292006432020571
montageanleitungdrucken; 0.03274068046011962
rückenlehne; 0.03262302446673857
geneve; 0.03261309214503853
einlasstiefe; 0.032362246443517505
bettlade; 0.0321241351273784
ausruhen; 0.03199814537074417
stoffbezug; 0.031842325632896976
hautfreundliche; 0.03172867198009044
grau; 0.03165943190397229
zusammen; 0.031642376984382284
zeitloser; 0.03154689959192183
queen; 0.03147124627521407
schwarze; 0.0314067353727296
dekor; 0.031367783193127254
UNK; 0.03116946667432785
mars; 0.030956336688541343
lederoptik; 0.03091559055756079
dreifach; 0.030867006760490766
