Wort; Durchschnittlicher Wert
schwarze; 0.002392075853276765
ihr; 0.0023499902426920016
Einen; 0.0020712533696496394
Webstoff; 0.0020156206359388308
Topper; 0.001882217100046546
viel; 0.001808368007550598
robust; 0.0017395719758496852
Highlight; 0.0017378941804963687
Korpus; 0.0017368040853853017
angenehmen; 0.0017366696079989196
durchgehenden; 0.0017334477040094499
zieht; 0.001669711643626215
Höhe; 0.0016392090064982767
In; 0.001619673270258204
Morgen; 0.001581585150961473
300; 0.0015672159483074211
Schlaf; 0.001562639107396535
Fernbedienung; 0.0015249408339968796
Stil; 0.0014768086710773786
Namen; 0.0014749565207466731
optisch; 0.0014630122217113239
GARCIA; 0.0014598518202049604
Sitzmöbel; 0.0014490621991512854
modern; 0.0014351565358083462
übrigens; 0.001405579492347897
perfekte; 0.0014035456599231111
nie; 0.0013523154192171204
Hellgrau; 0.00135013095659815
schon; 0.0012899383486001171
Komfort; 0.0012759962713971618
anderen; 0.0012682439315994999
möchten; 0.0012661449039342188
zeitlosen; 0.0012504727282248496
LUCA; 0.0012360838503354898
ist.Weitere; 0.0012227115256791877
ihren; 0.0011979958770098164
96; 0.0011965019716626557
gepolstertem; 0.0011935810372960987
zeitlos; 0.001181803350118571
Dabei; 0.0011699855035203655
weist; 0.001153256302814043
gesunden; 0.001124298016247849
60; 0.001094310301061796
Stauraum; 0.0010936955141460202
Optik; 0.001085025520524141
seitenverkehrten; 0.0010839559841770096
Variante; 0.0010787302797638175
Ihren; 0.0010664611254924238
platzieren; 0.0009839443357122946
hält; 0.0009783136421901873
