Wort; Durchschnittlicher Wert
hinweis; 0.10822662826956275
zugab; 0.09865555135475006
zweifellos; 0.098446342938405
stan; 0.09608960178447887
tuch; 0.09549577823017899
fleck; 0.09429409939039032
lieblingsteil; 0.09355388924886938
ehr; 0.09289907263591886
gewischt; 0.09214231002843007
feucht; 0.0919163769329316
entdeck; 0.08939979165879777
farbton; 0.08661292759352364
diejen; 0.08553529085656919
mischgeweb; 0.0848811066000053
thomas; 0.08325312697561457
eckschlafsofa; 0.08265739665366709
kopf; 0.08010270200975356
stund; 0.07978204571518291
stylish; 0.07923835150286322
matto; 0.07847214232897386
einmal; 0.07818422283453401
kombinierbar; 0.07798020881309639
freud; 0.07797728660516441
trendsett; 0.07635393274249509
top; 0.07459117028629407
lieferunglieferhinweisliefer; 0.07439062001358251
verspricht; 0.07320814891136251
erleb; 0.07168889570457396
wohnlandschaftdi; 0.07148632693570107
nylon; 0.07083930212538689
prakitscherweis; 0.0705593410646543
juist; 0.06964665383420651
durchdacht; 0.06963277934009966
option; 0.06922310872469098
kilogramm; 0.06914505502863903
eindrucksvoll; 0.06907020951039158
einsatz; 0.06806787435198203
endgult; 0.06791607069317251
landhaus; 0.06769283460089355
kiefernholz; 0.06754921803221806
elias; 0.06747169259469957
trendfarb; 0.06732156675498117
profiti; 0.06720294710539747
stattlich; 0.06666554872645065
rosa; 0.06636576403398067
ausschliess; 0.0662964769435348
worauf; 0.06612575483741238
wohnide; 0.06577943862066604
verlor; 0.06574830982863204
teenag; 0.06568839014362311
