Wort; Durchschnittlicher Wert
schlafplatz; 0.0944301976589486
boxspringsofa; 0.0877961198129924
gastezimm; 0.08134568808236509
dekor; 0.08117115574423224
mar; 0.08097949475923087
hinweisbitt; 0.07933973937178962
t; 0.0793032546142058
verbreitet; 0.07590238353004679
schlicht; 0.07529209942476882
gewach; 0.07378470760304481
pump; 0.0736656263761688
fernsehsessel; 0.0724660007050261
charm; 0.0721143156522885
marl; 0.07199430916225538
luftbett; 0.07040629187831655
funktionell; 0.06971534629701637
bigsofa; 0.06965629101614468
kief; 0.06928743079770357
kategorienwohntextilienvorhangestehleuchtenwohnzimmertischedruck; 0.0687803025735775
mitgeliefert; 0.06700706819538027
simon; 0.06681932675928692
aktuell; 0.06675997584243305
roll; 0.06645970839890651
bonellfederkernmatratz; 0.06622880737704691
artig; 0.0660025842138566
beflockt; 0.06592231455724687
hautfreund; 0.06572524153161793
paneel; 0.0655896244221367
echtholz; 0.06527280179434455
ubernachtungsmog; 0.06509645994228777
platzspar; 0.06438627905736212
kuschel; 0.06374294696142897
bestway; 0.06357009201165056
stoffbezug; 0.06352524354006164
empfehl; 0.0632807917543687
ii; 0.0631729871733114
clipso; 0.06302806384919676
schlafbereich; 0.06300236370880156
grauton; 0.06298317441251129
trendsetterfur; 0.0628322568605654
geschickt; 0.0628143331501633
unschlagbar; 0.06276360873598605
formschaum; 0.06264076274819672
senfgelb; 0.0621250875905389
led; 0.061429951776517555
havanna; 0.06136399158858694
edelstahl; 0.06115302217076533
hit; 0.060800803382880984
armablag; 0.06053799686487764
armstutz; 0.060352333512855696
