Wort; Durchschnittlicher Wert
kontinentalmatratzedas; 0.06711407368447908
farbton; 0.06631247851473746
fusshoh; 0.06575723515707069
hochwert; 0.06509032322501299
wahr; 0.06327760626445525
braun; 0.06270931045291946
lackiert; 0.0616713720257394
nylon; 0.061406028777128085
thomas; 0.058666422934038565
bringt; 0.058571294794091955
wand; 0.05852141742361709
verbirgt; 0.05726710794842802
eck; 0.0572492265382607
rosa; 0.057067773579910865
gemeinsam; 0.057011224128655155
kilogramm; 0.056798705365508795
xl; 0.056512231578017234
kopf; 0.055062403797637674
c; 0.05496163619682193
wohnlandschaftdi; 0.05448716721657547
diejen; 0.05393375859130174
lini; 0.05390548910945654
hinweisein; 0.05371081868579495
leg; 0.053072306199464944
selbstverstand; 0.05302329219412059
wobei; 0.052077144442591816
voraussetz; 0.05185606496524997
gewicht; 0.05140412735927384
viscoschaumk; 0.051179353534826076
hellbraun; 0.05104513056321593
verseh; 0.05095344771398232
bodenlang; 0.05092489426606335
angesicht; 0.05091055431985296
juist; 0.05090751321113203
antara; 0.05066598918056116
hochschlaf; 0.05063958399696276
erleb; 0.050521556576131846
fur; 0.05016406056820415
level; 0.05008557484106859
basis; 0.05003289846354164
living; 0.0498140867712209
frisch; 0.0497975746227894
wohnbereich; 0.04973321643192321
steingrau; 0.049500561867535
wurd; 0.049488923730677925
filmab; 0.04944748377747601
kontinentalmatraz; 0.049061840458307415
unpratentios; 0.04890400973526994
schaumstoffpolster; 0.04848196540260687
misst; 0.04842104525596369
