Wort; Durchschnittlicher Wert
braun; 0.09400523359654471
hellbraun; 0.07969857627904275
zon; 0.07591639973688871
nierenkiss; 0.06687761567300185
schlafgefuhl; 0.06671384717919863
kilogramm; 0.06609207951114512
hinweis; 0.06520093556027859
sitzhoh; 0.06517893691780045
you; 0.06386416019095123
mid; 0.06363859127741307
etwa; 0.06154034440405667
livetastic; 0.06123124328441918
nylon; 0.06029098549624905
verspricht; 0.06019181930460036
buchenholz; 0.06014676138292998
velour; 0.05910564713703934
hochwert; 0.059014815039699894
reissverschluss; 0.05892328545451164
farb; 0.05846426349598914
farbton; 0.058157388935796916
bringt; 0.058026541522121985
c; 0.05785552538000047
matto; 0.05732669015415013
stund; 0.05725140152244421
komforthoh; 0.0569235464092344
betragt; 0.05638494926970452
federk; 0.055911619996186344
worauf; 0.05521764995064586
kopf; 0.055137764336541294
probl; 0.05507180909626186
wurd; 0.05487867624033242
frisch; 0.054862016451079396
tipp; 0.05465887738391757
fall; 0.0546431625058176
querschlaf; 0.05437603814061731
verseh; 0.054300217609852555
eck; 0.053756830445490775
lackiert; 0.05359895497676916
teilweis; 0.053541531483642754
vermittelt; 0.05327386451535858
schlammfarb; 0.05326281072339043
stet; 0.05321948606724618
leg; 0.05300083877518773
zugab; 0.05286134702619165
rosa; 0.052143926615826786
hol; 0.052077735564671455
wand; 0.05195012706099078
zusagt; 0.05188933393219486
erleb; 0.05116621510824189
komfort; 0.05062248351459857
