Wort; Durchschnittlicher Wert
hinweisbitt; 0.0881817003712058
t; 0.07061396748758852
weiss; 0.06686140300007537
modern; 0.06679188122216147
schlafsofa; 0.06260957556369248
fernsehsessel; 0.06229751389473677
vielseit; 0.06140901037142612
situation; 0.061113045737147334
dezent; 0.06063731624744832
interessant; 0.060590039219823665
senfgelb; 0.06047589899972081
schlafplatz; 0.05999484886415303
mitgeliefert; 0.05960969494190067
komfortabl; 0.05904631165903993
erstrahlt; 0.05768459748942405
entsteht; 0.05747185561049264
luftbett; 0.057389518374111506
bestway; 0.05733409847598523
erweit; 0.057239921612199395
kategorienwohntextilienvorhangestehleuchtenwohnzimmertischedruck; 0.05684229181351839
boxspringsofa; 0.05634563066996634
platzspar; 0.05590520554687828
ruckenlehn; 0.05565395805751905
verbreitet; 0.054810962080955504
pump; 0.05466050140094012
minut; 0.054275738657452166
trendig; 0.05413485000608489
hautfreund; 0.05385340913198888
sitzgeleg; 0.053729086048406316
zweisitz; 0.05359434770361986
sessel; 0.05358495238178875
flexibl; 0.05347506045363844
dekor; 0.05254654632299207
luca; 0.05224377808335703
beflockt; 0.05223896785173565
bonellfederkernmatratz; 0.0519432783825323
zusatz; 0.05189184497576207
zubehor; 0.05153259817743674
schublad; 0.05126455231802538
freundlich; 0.051049649741617034
schlafbereich; 0.05100360449869186
verbind; 0.050880380207672715
carisma; 0.05026894288312178
gewach; 0.050134620745666325
formschaum; 0.04999437867663801
losung; 0.04994379483687226
graphit; 0.049938282105722466
unschlagbar; 0.049578975327312945
simon; 0.04930916166194947
bessoni; 0.049109206503635504
