Wort; Durchschnittlicher Wert
hinweisbitt; 0.05375017214391846
t; 0.04853917199652642
grau; 0.04824864302113383
modern; 0.046154913639475124
kategorienwohntextilienvorhangestehleuchtenwohnzimmertischedruck; 0.04595539862493751
webstoff; 0.04517912069368322
weiss; 0.044655440449969316
schlafplatz; 0.044644455332309006
dezent; 0.043391565207275565
luftbett; 0.04326556099695154
schlafbereich; 0.043087845103582365
eignet; 0.04300473041439545
interessant; 0.042639578742091545
fernsehsessel; 0.042636303970357406
platzspar; 0.04160903852898627
bestway; 0.04153531338088214
luca; 0.04142188647820148
situation; 0.04042739514698042
pump; 0.04037647178593033
mitgeliefert; 0.03999673668913602
mar; 0.03976566740893759
verbreitet; 0.03968258855020394
senfgelb; 0.03958561977779027
lasst; 0.039567685412475836
gastezimm; 0.03909308928334667
hautfreund; 0.0386277629299002
echtholz; 0.0386017935234122
bessoni; 0.03853414194891229
einzelbett; 0.03839040271996055
schlafsofa; 0.03813883875263855
unschlagbar; 0.03764640864683315
somit; 0.03752576533588581
zusatz; 0.03742241224681493
schublad; 0.03720249432662968
ruckenlehn; 0.03715296911468613
vielseit; 0.03685011385241523
trendig; 0.03628915707231499
komfortabl; 0.03617446880962234
erstrahlt; 0.036104179453104734
gewach; 0.036095289385411886
entsteht; 0.03609512845869176
schlaffunktion; 0.03543089451377455
genev; 0.035284436559595636
zweisitz; 0.03522452778124716
bietet; 0.03521828047814779
farbgeb; 0.03493986887006031
simon; 0.03491788712854031
bigsofa; 0.034870812715962526
nimmt; 0.03482855011243373
freundlich; 0.03474954385019373
