Wort; Durchschnittlicher Wert
luftbett; 0.10162231701833661
bestway; 0.09832517057075166
beflockt; 0.08914667059725616
minut; 0.08574731887492817
boxspringsofa; 0.08302175326098223
pump; 0.08038444285630249
styl; 0.07528903839120175
simon; 0.06987051611067727
einzelbett; 0.06917377901554574
diwan; 0.06791779362411035
verhindert; 0.0678962085468811
verriegelnd; 0.0673561412782874
sitzgeleg; 0.06708763810165692
artig; 0.06672389477171237
stauraumwund; 0.0660693683399586
nichtgebrauch; 0.0660051130449574
marl; 0.06583299474004889
bigsofa; 0.06537097233231179
schnellverschlussventil; 0.0648634112207219
verwendet; 0.06486265832354547
eignet; 0.06480024168849922
mitgeliefert; 0.06469699858134845
queen; 0.06394419206044404
airbed; 0.061651573567360174
wechseln; 0.061592221216415055
flexibl; 0.0615538448029838
ungewollt; 0.06140987580401998
outdoor; 0.06132927884173114
abrutsch; 0.06127149020903744
hochleistungsreparaturflick; 0.06020668020209996
pvc; 0.059908192527655044
verbreitet; 0.059844851898378695
sessel; 0.059673123265383765
ausgeklappt; 0.05954490495205391
glanzend; 0.059394731774227695
senfgelb; 0.05894944927058532
staufach; 0.05871578649966978
prufzeich; 0.058607164918794294
klass; 0.05806016488932073
tragetasch; 0.057609771901843486
kabel; 0.05673760224708531
zweisitz; 0.05647481844371214
reach; 0.056166588654741646
armablag; 0.05615966865352675
reparaturflick; 0.055918205426132774
herz; 0.05567416484554997
havanna; 0.05544427589265979
unterweg; 0.05532101656426676
kuschel; 0.05511437180102803
tritec; 0.05478283770371491
