Wort; Durchschnittlicher Wert
boxspringsofa; 0.007006229259786778
kippbett; 0.005810728529468179
alexandrfa; 0.005656253569759429
kief; 0.005480728385737166
bedien; 0.005458816536702216
gitterrost; 0.005434650316601619
schaumstoffkiss; 0.005319116852479056
dorry; 0.005200832060654648
adria; 0.0051625542168039825
ra; 0.005052975603030063
lieblingsposition; 0.005050328455399722
lieblingsseri; 0.004993366973940283
carolina; 0.004938435018993914
modisch; 0.004877054644748568
tablet; 0.004843304326641373
falco; 0.004765677778050303
funktionell; 0.004761455149855464
nied; 0.004723112570354715
schlafhoh; 0.004689691518433392
formschaum; 0.0046888852841220794
eingearbeitet; 0.004656626487849281
jahr; 0.00462170378305018
havanna; 0.0045911423279903826
fernsehsessel; 0.004575741058215499
wohndeck; 0.004542860042420216
wohl; 0.004525856309919618
armablag; 0.004520993601181545
carbonstahl; 0.004515349969733506
erstrahlt; 0.004457586444914341
gebracht; 0.004434523935196921
sortiment; 0.004419053602032363
elisabeth; 0.004404353585414356
anschau; 0.004308965906966477
zugang; 0.004308645337005146
blument; 0.004292775306385011
comfort; 0.004210456763394177
lieblingsmobel; 0.00418568872846663
sitzgeleg; 0.004130220983643085
erweit; 0.004079266241751612
r; 0.004041455504921032
textili; 0.004034107743063941
bonellfederkernmatratz; 0.003976105025503785
angebot; 0.003951416492054704
glamour; 0.0039189465955132615
ergeb; 0.003917345107765868
campingausflug; 0.003917178791743936
trock; 0.003910322417505085
dezent; 0.003904044220689684
mega; 0.0039031519962009044
funffach; 0.003896858874941245
