Wort; Durchschnittlicher Wert
boxspringsofa; 0.07221221469226294
klasse; 0.06812284652041853
wechseln; 0.06569441598840058
futonbett; 0.0646710737882131
stoffbezug; 0.06151365714031272
pumpe; 0.06097978969919495
hit; 0.06077034857007675
grauton; 0.060538983230071605
wohnungen; 0.060442341538146135
grauen; 0.060308401538350154
clipso; 0.059639506583334875
bigsofa; 0.05943790795427049
fernsehsessel; 0.05900791831081733
nichtgebrauch; 0.05894595181307523
reparaturflicken; 0.05843374120013323
weißer; 0.058234484498098024
annehmlichkeiten; 0.058158686605747786
coolen; 0.05809876724670175
chillen; 0.05805444915313274
grauem; 0.057972198713105175
schlichter; 0.057942996430210766
abhinweisbitte; 0.05789626495097764
entsteht; 0.057743148144800215
nachtkasterl; 0.05723825937602669
geschickt; 0.056431700167013335
überraschenden; 0.056234153039986266
havanna; 0.05609192601350514
lässt; 0.055665150366621674
aruba; 0.05541884539707098
trendsetterfürs; 0.055357194814132524
kleinen; 0.05483794887841213
luftbett; 0.05389179801277351
vorzügen; 0.053709027165314185
überbieten; 0.0534910130983917
stauraumwunder; 0.05343378847901477
bonellfederkernmatratze; 0.05338943837632541
mega; 0.053287908594938926
senfgelb; 0.05296936971717514
armstützen; 0.05282718188245781
universalrollen; 0.05228049341239967
werten; 0.05186624100897461
flexibler; 0.05181365547177848
versinken; 0.05122664924419951
levi; 0.05053775474661961
gehüllt; 0.050316364559694196
marlene; 0.04999656993604731
schieben; 0.04990092013613321
modernem; 0.04989828578545712
elektrischer; 0.04964345691842027
webstoffbezugs; 0.049573289247928184
