Wort; Durchschnittlicher Wert
beflockt; 0.7490850755159044
luftbett; 0.6529178386903368
bestway; 0.6443897513148841
bettlad; 0.614271422026286
grau; 0.6118447914719581
empfehl; 0.6056964066629007
hinweisbitt; 0.5587649393826724
gross; 0.5380611058324576
einzelbett; 0.5308730222284794
weiss; 0.5213999649509787
t; 0.5210874413140119
b; 0.5204451492987573
jugendzimm; 0.5027058994397521
cm; 0.5009374551475048
x; 0.5001920915208757
lieferumfang; 0.4962222496513277
enthalt; 0.49466468263417485
abgebildet; 0.49307306483387947
dekoration; 0.49203774430789055
beacht; 0.4909602103754878
mitgeliefert; 0.48674127720296384
schlafsofa; 0.4838209370151162
fernsehsessel; 0.48363654948771
hautfreund; 0.4796084873378277
ca; 0.4765281080268323
rollrost; 0.46284971218556165
liegeflach; 0.4601378692314029
einfach; 0.45579300159588454
druck; 0.438308216817677
nachtkastch; 0.438153813034296
ombra; 0.4073748245835304
mar; 0.3860165664606029
geraum; 0.34787229411304
bett; 0.3424854670651257
minut; 0.3413400597679356
sitzgeleg; 0.32322041392326356
h; 0.32223021537065505
aktuell; 0.3125755853950977
ambient; 0.3124189104884863
modern; 0.3087142465636134
l; 0.3075139162130654
praktisch; 0.3055142001248896
oberflach; 0.304357922449708
gastezimm; 0.30200918950140476
funktional; 0.2983858497813344
genev; 0.28855845592916013
schlafzimm; 0.2846285240724683
einlasstief; 0.23152857847890118
verwend; 0.22915950361639262
kunststoff; 0.2086260149422742
drei; 0.19293168969452382
schaff; 0.17860739976167678
halt; 0.16641524545848368
boxbett; 0.16471721651614643
kategorienwohntextilienvorhangestehleuchtenwohnzimmertischedruck; 0.15915038604289294
lass; 0.15669276677072047
ungewollt; 0.15621588626081576
flexibl; 0.1561940021812916
outdoor; 0.15569379800581373
verriegelnd; 0.15420161985093728
schnellverschlussventil; 0.15406924571434502
airbed; 0.15290996256808284
schlafplatz; 0.1526268595829606
pump; 0.1516611047743936
interessant; 0.15039238687604667
schon; 0.15014508794993162
doppelbett; 0.1496471080929041
dekor; 0.1489144267514348
hochleistungsreparaturflick; 0.14707401227933586
eignet; 0.14592384360730648
bestellbar; 0.1458302740007639
lattenrost; 0.14489426854997872
roll; 0.1433678675442934
led; 0.1432370062917471
beleucht; 0.14262883625924588
kabel; 0.14259645295096562
lieg; 0.14204505551606417
klein; 0.1419548846781254
bequ; 0.14167802464216947
mark; 0.14144112542271614
hinweisdies; 0.14131109295412897
betret; 0.14112191651074682
staufach; 0.14109112301666754
abrutsch; 0.14006108098255937
inkludiert; 0.13992527239024638
twin; 0.13986464273766613
geradlin; 0.13981606345623732
carolina; 0.13710390073974849
erwartet; 0.13555503628740553
gesicht; 0.13527650038358843
synthetikmix; 0.1335335884228698
schlafunterlag; 0.1335029167947596
genauso; 0.13309660767263268
verbreitet; 0.13050720211467706
aufgeblas; 0.1301114860747475
oberseit; 0.12764639896558946
wohltuend; 0.12582464382749095
tragetasch; 0.12561922319000587
widerstandsfah; 0.12486326857251698
hinsetz; 0.12426512753008864
schatz; 0.12309418190707219
bonellfederkernmatratz; 0.12193900158854376
unterweg; 0.11959217111716498
tritec; 0.11955359240091638
gonn; 0.11835930020606611
queen; 0.11737548951350618
speziell; 0.07268208718378447
genuss; 0.07267378352407831
prufzeich; 0.07088292562111746
beruh; 0.06708309937093873
reach; 0.06573345271754079
jugendbett; 0.06555784331867472
einsatzbereit; 0.06527234684326685
wiss; 0.06429553944471991
vinyl; 0.05196226280240808
aufsteh; 0.05186052346252836
rutschf; 0.05133047664112382
balkenkonstruktion; 0.05118168115295703
kopfpol; 0.05091062967367179
vorgepruft; 0.050630736695165976
camping; 0.050580508113489485
verhindert; 0.05018976367937285
beschadigt; 0.049182234000181776
knopfnaht; 0.04901814849908988
elektr; 0.0484290313674137
abgebaut; 0.04771237136737909
unzahl; 0.046799440548784335
