Wort; Durchschnittlicher Wert
luftbett; 4.148157354444265
bestway; 4.088159139081836
l; 4.024341090023517
UNK; 3.9811806816607715
cm; 3.9777875278145074
druck; 3.9762293569743634
b; 3.9750269327312706
x; 3.967724047601223
ca; 3.7617386620491744
bequ; 3.7420912351459266
einfach; 3.721645076945424
person; 3.658462790772319
hinweisdies; 3.564841417223215
dekoration; 3.5622384298592804
bestellbar; 3.5579835440963508
artikel; 3.555890154093504
filial; 3.5558456968516112
lieferumfang; 3.551581545546651
abgebildet; 3.5473894271999598
ausgestellt; 3.5472633335739374
bitt; 3.5334901485592125
enthalt; 3.5301609080284835
beacht; 3.528272593766451
pump; 3.4809015311300753
h; 3.4708993207663297
elektr; 3.4656416274607182
gross; 3.398919804021716
bequem; 3.398767703399062
oberflach; 3.3476363718509674
integriert; 3.287238409742713
kg; 3.200894769281149
sorgt; 3.081061091646552
komfortabl; 3.0381894055753946
liegeflach; 3.005257453024387
platz; 2.9868878960609435
bett; 2.94084546379745
sowi; 2.9260954417288305
best; 2.8594254549592732
haus; 2.7940168835222723
gastebett; 2.777200485765934
praktisch; 2.7591644667088984
schlafplatz; 2.6944201387465
spontan; 2.563998630270362
matratz; 2.5580655582249165
mark; 2.262274711579084
schlafkomfort; 2.2588695023208856
ab; 2.1411100417375564
flexibl; 1.990593758970499
handumdreh; 1.9629561811685563
mitgeliefert; 1.7364674847573043
find; 1.725540167093277
ubernachtungsbesuch; 1.312945994362235
schlaf; 0.7957424521446228
