Wort; Durchschnittlicher Wert
große; 0.9507031121291221
UNK; 0.8675929206190631
97; 0.8173393953591586
eine; 0.7627555121551268
Luftbett; 0.7110102655831725
BESTWAY; 0.7020774397999048
ist.Weitere; 0.6733402230776846
funktional; 0.6592996940016747
17; 0.6014920007437468
beflockte; 0.5945747530087828
(; 0.5802902484778315
.; 0.5787250711582601
x; 0.5774590753018856
Weiß; 0.5748114719986915
Zweisitzer; 0.5736498257145286
); 0.5686847599921748
B; 0.568651930615306
und; 0.5678805643459782
,; 0.5600916286930442
Liegefläche; 0.5220016623730771
Lieferumfang; 0.5211745927343145
enthalten; 0.5208605437466758
nicht; 0.5168227920890786
Dekoration; 0.5167753153247758
cm; 0.44136520139873026
im; 0.4340772886760533
Das; 0.43054100023582575
in; 0.4203835228923708
ca; 0.41796290362253785
die; 0.4152842783369124
von; 0.4130064766854048
Sie; 0.4063482275698334
bis; 0.404796138824895
mit; 0.40111787552013994
Modernes; 0.4009851936250925
beachten; 0.3998989166691899
dass; 0.3951413762755692
empfehlen; 0.3922919348813593
Größe; 0.39097567889839413
L; 0.3819249780382961
84; 0.2929492436349392
Farbgebung; 0.29204853251576424
HinweisDieser; 0.2810982811264694
!; 0.2788535890169442
hält; 0.2788069527596235
moderne; 0.27755563631653785
Rollrost; 0.27684351336210966
hat; 0.2738796856254339
56; 0.27295569572597744
Grau; 0.27187645211815836
schaffen; 0.27179365511983633
T; 0.2714910523034632
H; 0.2700468150433153
abgebildete; 0.26809997474774716
Fernsehsessel; 0.2675347087904811
einfach; 0.26521868333220483
Schlafzimmer; 0.26219052718952296
Hier; 0.2610386086627841
geräumige; 0.25768974563106894
Bett; 0.25556061351671816
Sitzgelegenheit; 0.25406278800219295
Minuten; 0.2512811651453376
interessante; 0.2497711289790459
Schlafsofa; 0.1671235479414463
eignet; 0.1530894392170012
Matratze; 0.1494580533122644
Dekor; 0.1447179801762104
als; 0.14436464868485926
leicht; 0.14314010161906482
aus; 0.14087176602333784
Bonellfederkernmatratze; 0.13893385771661998
dabei; 0.1384634361602366
Pumpe; 0.13835489666089415
KategorienWohntextilienVorhängeStehleuchtenWohnzimmertischeDrucken; 0.1377894576638937
Höhe; 0.13644059617072343
gefertigt; 0.136118184030056
Schwarz; 0.1359841287136078
sich; 0.13511111140251159
Schaumstoffkern; 0.1349096005782485
Nachtkästchen; 0.13425249319989235
somit; 0.13408040553331374
203; 0.13329625371843576
Bezug; 0.13228595219552516
Entspannung; 0.131501560844481
Unter; 0.13097463231533765
Boxbett; 0.1304216468706727
ist.Drucken; 0.13039499460719525
der; 0.1295394841581583
platzsparend; 0.12935043913312255
grauem; 0.12918456718325616
Als; 0.12899747490882874
verfügt; 0.12833805084228517
können; 0.12792915869504212
gleichzeitig; 0.12763143628835677
Schlafplatz; 0.1274136436637491
Zwei; 0.127370573207736
Einzelbett; 0.1272650733590126
zum; 0.127189770527184
mitgelieferten; 0.12618499752134085
optisch; 0.12597912419587373
Abmessungen; 0.12582124769687653
neues; 0.12549998462200165
integrierter; 0.12527590938843786
Räumen; 0.1251412635203451
Personen; 0.12467757416889072
bequeme; 0.12371340803802014
73,4; 0.1235984617844224
KategorienSchlaftextilienNachtkästchenKleiderschränkeKomplette; 0.12349561676383018
152; 0.12344310712069273
Doppelbett; 0.12287415144965053
Einrichtungsstile; 0.1216825969517231
erhalten; 0.1203978093340993
feines; 0.11984549229964614
hautfreundliche; 0.11946350643411278
verleihen; 0.11898894030600786
