Wort; Durchschnittlicher Wert
luftbett; 3.844175722799264
bestway; 3.7930449163453885
mitgeliefert; 3.466968209113111
pump; 3.299531715217745
elektr; 3.271435914373433
person; 2.9385317438136553
oberflach; 2.9299554782292034
ab; 2.9013533029297833
aufbewahr; 2.6982632052968256
spontan; 2.654246451164363
best; 2.5807567327356082
inn; 2.5675889041944173
stabil; 2.5568440475326497
mark; 2.527590016425529
ubernachtungsbesuch; 2.5155490033503156
haus; 2.345370552020904
schlafplatz; 2.3327059831266523
gastebett; 2.274345990900474
integriert; 2.2536307630551162
grun; 2.2355876209854615
dank; 2.209662018677045
bequem; 2.1511361919350747
schlafkomfort; 2.1422868465670035
druck; 2.0967885849058803
kunststoff; 2.079351114806195
platz; 2.0516902870789635
grau; 1.9829937906411943
schliesslich; 1.9694712719436211
gerad; 1.969183814805001
relax; 1.9668303609345457
roll; 1.9652975088960374
rundet; 1.9591447549544683
top; 1.9569041184848175
drei; 1.9114988494111458
gemut; 1.8998124560341239
nichtgebrauch; 1.88234649807564
dunkelblau; 1.8776792465898324
ladt; 1.8705175466991932
schnell; 1.8513806525908876
beim; 1.8466675111783843
find; 1.8161204737400112
blau; 1.5514705721914652
robust; 1.4746676334034419
verstaut; 1.4441332406699074
l; 1.2790863848477785
schlafstatt; 1.2469201282729045
hinweisdies; 1.1713449455184672
fall; 1.1604227981544681
abgebildet; 0.981982210668275
beacht; 0.730585985846119
egal; 0.6154297530680196
variant; 0.5304485040833242
ubernachtungsgast; 0.5249467808287591
benot; 0.5109979804954492
beid; 0.443654799379874
dekoration; 0.371145867166706
x; 0.35811799990187865
macht; 0.3456729797297157
cm; 0.2693282695346625
lieb; 0.25810554397758095
UNK; 0.18248057798937226
b; 0.17991909687098087
filial; 0.17962090711807832
manuell; 0.1766602384741418
komfortabl; 0.0946257314644754
angenehm; 0.09294975392986089
material; 0.09269570810720325
bitt; 0.09140134345980186
