Wort; Durchschnittlicher Wert
cm; 1.204818668961525
x; 1.1996876765042543
große; 1.1693254567682743
ca; 1.1690586030483245
b; 1.1517619099467993
lieferumfang; 1.1014775283634664
dekoration; 1.0848881497979164
enthalten; 1.0843467403203249
abgebildete; 1.083519560843706
t; 1.0799844861030579
beachten; 1.0777004811912776
liegefläche; 1.0509670171886683
h; 1.036764919757843
drucken; 1.0132427703589202
l; 1.0126753881573678
UNK; 0.9937951095402241
bett; 0.9829288192093373
einfach; 0.9615187991410494
hinweisbitte; 0.9569733116775752
bequem; 0.933307932317257
weiß; 0.9261340830475092
bestellbar; 0.8866844136267901
schlafsofa; 0.8844423931092024
ombra; 0.8806461438536644
weitere; 0.8688861086964608
drei; 0.8589743625372648
hinweisdieser; 0.852207288518548
sowie; 0.8521419633179903
bietet; 0.8373015813529492
filialen; 0.8089785244315862
artikel; 0.7965770054608583
ausgestellt; 0.7954560358077287
bitte; 0.779344916343689
matratze; 0.7601092031225563
interessante; 0.6769281692802906
grau; 0.6371030874550343
lassen; 0.6276947014033795
beflockte; 0.6262545850127935
schlafzimmer; 0.6175734508782625
webstoff; 0.6143744543194771
hält; 0.6056422326713801
luftbett; 0.48667777329683304
marke; 0.4704619858413935
lässt; 0.4629543397575617
schaffen; 0.45796497352421284
höhe; 0.45464719235897066
funktional; 0.44461888782680037
rollrost; 0.44389805644750596
platz; 0.31661721840500834
runden; 0.3141245737671852
bestway; 0.31341385245323183
schlafzimmerdrucken; 0.29838520362973214
oberfläche; 0.2949230778962374
sitzgelegenheit; 0.29038853719830515
kategorienschlaftextiliennachtkästchenkleiderschränkekomplette; 0.28964086193591354
dekor; 0.2876999661326408
kg; 0.16455998420715331
bequeme; 0.15640465691685676
moderne; 0.15245636440813543
einzelbett; 0.1509557317942381
praktischen; 0.15012961998581886
eignet; 0.1486968219280243
empfehlen; 0.14839877784252167
kissen; 0.14835220910608768
ambiente; 0.147129437699914
kategorienwohntextilienvorhängestehleuchtenwohnzimmertischedrucken; 0.14692044854164124
personen; 0.14512039870023727
zwei; 0.1446365974843502
praktisches; 0.1439982283860445
grauen; 0.14321074821054935
größe; 0.14184736907482148
