Wort; Durchschnittlicher Wert
große; 0.9812103319913149
UNK; 0.9805930364876986
eine; 0.9469342887401581
.; 0.8872826147824526
x; 0.8850925505161286
und; 0.884244104102254
Das; 0.8782520044595004
(; 0.8733000535517931
cm; 0.8728446256369352
97; 0.8701922051608563
); 0.8666802812367678
,; 0.8627315923571587
im; 0.8494037225842476
in; 0.838703790679574
B; 0.837154534086585
ca; 0.8287705246359109
die; 0.8283139504492283
Sie; 0.8261286351829767
!; 0.8189344219863415
Lieferumfang; 0.8126241508871317
Dekoration; 0.8122339744120837
mit; 0.8109190613031387
enthalten; 0.8102944493293762
von; 0.808802729845047
abgebildete; 0.8062074713408947
nicht; 0.8045740082859993
beachten; 0.8010959330946207
dass; 0.7986761391162872
T; 0.7735686343163252
Liegefläche; 0.7685486383736133
H; 0.7574426583945751
Schlafsofa; 0.7498435450717806
ist; 0.7307773146778345
84; 0.7228940434753894
L; 0.7182819554582238
für; 0.7177658025175333
sich; 0.7116966057568789
ist.Weitere; 0.7098636055365205
einfach; 0.6984600484371185
der; 0.5942335914820432
aus; 0.5739642471075058
Bett; 0.556034066900611
Luftbett; 0.42865788377821445
können; 0.42266939897090194
BESTWAY; 0.4185067692771554
Die; 0.41596853770315645
Weiß; 0.40913096964359286
Modernes; 0.289070962741971
schaffen; 0.28456606045365335
funktional; 0.2811161382123828
beflockte; 0.2801794132217765
Webstoff; 0.277295714430511
interessante; 0.2771648658439517
Grau; 0.2740382423624396
Marke; 0.27144708279520274
17; 0.27016779836267235
bis; 0.2654143676161766
Hier; 0.13889118302613496
moderne; 0.1354942087084055
empfehlen; 0.13545379154384135
bequem; 0.13390519600361586
Rollrost; 0.13267534114420415
hält; 0.13156389351934195
zu; 0.13111591748893262
drei; 0.13099110033363104
